time, epoch, train_l1, val_l1, val_psnr, val_ssim, val_cnr, val_gcnr, val_ks_stat, val_ks_p, is_best, best_metric, best_value, best_checkpoint
2025-10-13 21:11:30,1,0.065612,0.064973,17.2226,0.5329,0.6374,1.6027,0.5909,0.0000,False,ssim,0.545568,
2025-10-13 21:14:05,2,0.061412,0.058900,18.2875,0.5676,0.6168,1.6005,0.5833,0.0000,True,ssim,0.567614,D:\Downloads\NSU\CSE498R\UnetDehazing\Dehazing\Notebooks\checkpoints\best_epoch_002.pt
2025-10-13 21:16:41,3,0.056523,0.054288,18.3507,0.6042,0.4926,1.9718,0.2392,0.0000,True,ssim,0.604187,D:\Downloads\NSU\CSE498R\UnetDehazing\Dehazing\Notebooks\checkpoints\best_epoch_003.pt
2025-10-13 21:19:20,4,0.051545,0.049889,19.2276,0.6199,0.5419,1.8826,0.2108,0.0000,True,ssim,0.619900,D:\Downloads\NSU\CSE498R\UnetDehazing\Dehazing\Notebooks\checkpoints\best_epoch_004.pt
2025-10-13 21:22:06,5,0.047080,0.045908,19.9818,0.6366,0.5180,1.9418,0.1571,0.0000,True,ssim,0.636566,D:\Downloads\NSU\CSE498R\UnetDehazing\Dehazing\Notebooks\checkpoints\best_epoch_005.pt
2025-10-13 21:24:43,6,0.043554,0.042342,20.5574,0.6606,0.5500,1.8653,0.5839,0.0000,True,ssim,0.660640,D:\Downloads\NSU\CSE498R\UnetDehazing\Dehazing\Notebooks\checkpoints\best_epoch_006.pt
2025-10-13 21:27:33,7,0.040763,0.040892,20.8227,0.6644,0.5052,1.9926,0.1565,0.0000,True,ssim,0.664413,D:\Downloads\NSU\CSE498R\UnetDehazing\Dehazing\Notebooks\checkpoints\best_epoch_007.pt
2025-10-13 21:30:13,8,0.038775,0.038634,21.2536,0.6816,0.5308,1.8882,0.5847,0.0000,True,ssim,0.681578,D:\Downloads\NSU\CSE498R\UnetDehazing\Dehazing\Notebooks\checkpoints\best_epoch_008.pt
2025-10-13 21:32:51,9,0.037107,0.038508,21.2574,0.6861,0.5017,1.9611,0.5818,0.0000,True,ssim,0.686057,D:\Downloads\NSU\CSE498R\UnetDehazing\Dehazing\Notebooks\checkpoints\best_epoch_009.pt
2025-10-13 21:35:29,10,0.035808,0.035729,21.7906,0.6966,0.5123,1.9484,0.5811,0.0000,True,ssim,0.696578,D:\Downloads\NSU\CSE498R\UnetDehazing\Dehazing\Notebooks\checkpoints\best_epoch_010.pt
2025-10-13 21:38:10,11,0.034701,0.035267,22.0042,0.6989,0.5251,1.8948,0.5369,0.0000,True,ssim,0.698901,D:\Downloads\NSU\CSE498R\UnetDehazing\Dehazing\Notebooks\checkpoints\best_epoch_011.pt
2025-10-13 21:40:47,12,0.033707,0.034861,22.2293,0.7048,0.5305,1.8825,0.5887,0.0000,True,ssim,0.704817,D:\Downloads\NSU\CSE498R\UnetDehazing\Dehazing\Notebooks\checkpoints\best_epoch_012.pt
2025-10-13 21:43:37,13,0.032999,0.033578,22.3893,0.7032,0.5154,1.9237,0.1600,0.0000,False,ssim,0.704817,D:\Downloads\NSU\CSE498R\UnetDehazing\Dehazing\Notebooks\checkpoints\best_epoch_012.pt
2025-10-13 21:46:17,14,0.032288,0.032857,22.5062,0.7142,0.5037,1.9622,0.5835,0.0000,True,ssim,0.714233,D:\Downloads\NSU\CSE498R\UnetDehazing\Dehazing\Notebooks\checkpoints\best_epoch_014.pt
2025-10-13 21:49:02,15,0.031604,0.031946,22.7331,0.7149,0.5129,1.9491,0.1908,0.0000,True,ssim,0.714852,D:\Downloads\NSU\CSE498R\UnetDehazing\Dehazing\Notebooks\checkpoints\best_epoch_015.pt
2025-10-13 21:51:43,16,0.031003,0.031979,22.6760,0.7156,0.5077,1.9614,0.5748,0.0000,True,ssim,0.715565,D:\Downloads\NSU\CSE498R\UnetDehazing\Dehazing\Notebooks\checkpoints\best_epoch_016.pt
2025-10-13 21:54:32,17,0.030559,0.031405,22.8476,0.7188,0.5003,1.9935,0.1570,0.0000,True,ssim,0.718763,D:\Downloads\NSU\CSE498R\UnetDehazing\Dehazing\Notebooks\checkpoints\best_epoch_017.pt
2025-10-13 21:57:25,18,0.030027,0.031149,22.9622,0.7193,0.5066,1.9748,0.1505,0.0000,True,ssim,0.719289,D:\Downloads\NSU\CSE498R\UnetDehazing\Dehazing\Notebooks\checkpoints\best_epoch_018.pt
2025-10-13 22:00:18,19,0.029607,0.030750,23.2017,0.7237,0.5257,1.9097,0.1476,0.0000,True,ssim,0.723668,D:\Downloads\NSU\CSE498R\UnetDehazing\Dehazing\Notebooks\checkpoints\best_epoch_019.pt
2025-10-13 22:02:58,20,0.029184,0.030180,23.2232,0.7310,0.5049,1.9723,0.5790,0.0000,True,ssim,0.731021,D:\Downloads\NSU\CSE498R\UnetDehazing\Dehazing\Notebooks\checkpoints\best_epoch_020.pt
