time,epoch,train_loss,val_loss,psnr,ssim,is_best,best_metric,best_metric_value,best_checkpoint
time=2025-10-14 06:04:07,epoch=1,train_loss=0.117807,val_loss=0.075059,psnr=17.481756,ssim=0.242638,is_best=True,best_metric=ssim,best_metric_value=0.242638,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 06:05:47,epoch=2,train_loss=0.068187,val_loss=0.063480,psnr=17.811843,ssim=0.504746,is_best=True,best_metric=ssim,best_metric_value=0.504746,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 06:07:27,epoch=3,train_loss=0.060462,val_loss=0.058114,psnr=18.191521,ssim=0.581931,is_best=True,best_metric=ssim,best_metric_value=0.581931,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 06:09:07,epoch=4,train_loss=0.054749,val_loss=0.052531,psnr=18.829703,ssim=0.611642,is_best=True,best_metric=ssim,best_metric_value=0.611642,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 06:10:47,epoch=5,train_loss=0.049704,val_loss=0.047412,psnr=19.659724,ssim=0.635547,is_best=True,best_metric=ssim,best_metric_value=0.635547,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 06:12:27,epoch=6,train_loss=0.045729,val_loss=0.043756,psnr=20.306091,ssim=0.645331,is_best=True,best_metric=ssim,best_metric_value=0.645331,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 06:14:06,epoch=7,train_loss=0.042702,val_loss=0.041090,psnr=20.766317,ssim=0.661208,is_best=True,best_metric=ssim,best_metric_value=0.661208,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 06:15:46,epoch=8,train_loss=0.040480,val_loss=0.040099,psnr=21.018025,ssim=0.667985,is_best=True,best_metric=ssim,best_metric_value=0.667985,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 06:17:26,epoch=9,train_loss=0.038711,val_loss=0.038133,psnr=21.220735,ssim=0.676429,is_best=True,best_metric=ssim,best_metric_value=0.676429,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 06:19:06,epoch=10,train_loss=0.037142,val_loss=0.036844,psnr=21.649075,ssim=0.684285,is_best=True,best_metric=ssim,best_metric_value=0.684285,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 06:20:46,epoch=11,train_loss=0.035993,val_loss=0.035802,psnr=21.789756,ssim=0.691230,is_best=True,best_metric=ssim,best_metric_value=0.691230,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 06:22:26,epoch=12,train_loss=0.034892,val_loss=0.035167,psnr=21.950755,ssim=0.696186,is_best=True,best_metric=ssim,best_metric_value=0.696186,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 06:24:06,epoch=13,train_loss=0.033973,val_loss=0.034513,psnr=22.036833,ssim=0.699841,is_best=True,best_metric=ssim,best_metric_value=0.699841,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 06:25:46,epoch=14,train_loss=0.033318,val_loss=0.033718,psnr=22.222179,ssim=0.701022,is_best=True,best_metric=ssim,best_metric_value=0.701022,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 06:27:25,epoch=15,train_loss=0.032590,val_loss=0.032863,psnr=22.493327,ssim=0.706951,is_best=True,best_metric=ssim,best_metric_value=0.706951,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
